City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,petropavlovsk-kamchatsky,53.0452,158.6483,0.43,94,75,3.0,RU,1713219663
153,princeville,45.7668,-61.2985,10.82,95,40,1.54,CA,1713219802
154,nguigmi,14.2495,13.1092,31.42,10,99,4.94,NE,1713219802
155,zliten,32.4674,14.5687,20.87,60,91,6.33,LY,1713219802
156,nova sintra,14.8667,-24.7167,22.87,87,0,7.09,CV,1713219802
157,kiunga,-6.1219,141.2906,23.72,98,100,0.32,PG,1713219802
158,kimberley,-28.7323,24.7623,15.83,72,100,5.14,ZA,1713219802
159,duong dong,10.2167,103.9667,25.0,94,20,2.06,VN,1713219802
160,howell,42.6073,-83.9294,22.12,29,0,4.63,US,1713219522
161,curuca,-0.7289,-47.8481,23.29,98,100,1.42,BR,1713219803
162,yelan'-koleno,51.1523,41.2306,9.39,80,100,5.89,RU,1713219556
163,utrik,11.2278,169.8474,26.94,82,39,8.16,MH,1713219803
164,antalaha,-14.9003,50.2788,24.88,85,72,3.11,MG,1713219803
165,khandyga,62.6667,135.6,-12.83,88,100,1.26,RU,1713219803
166,san julian,21.0167,-102.1667,31.92,13,100,5.33,MX,1713219803
167,walvis bay,-22.9575,14.5053,12.53,100,74,0.0,NA,1713219803
168,klaksvik,62.2266,-6.589,3.51,75,100,12.71,FO,1713219803
169,tolanaro,-25.0319,46.9987,21.04,94,75,3.09,MG,1713219804
170,fale old settlement,-9.3852,-171.2468,27.34,83,100,4.77,TK,1713219804
171,kuandian,40.7286,124.7847,7.49,88,100,1.4,CN,1713219804
172,sandnessjoen,66.0217,12.6316,1.06,69,20,2.57,NO,1713219804
173,trindade,-16.6494,-49.4889,27.86,75,98,1.79,BR,1713219716
174,veraval,20.9,70.3667,28.26,60,57,7.67,IN,1713219804
175,manismata,-2.4667,111.0333,23.22,99,68,1.22,ID,1713219804
176,alo,7.4178,6.7371,28.27,73,83,1.05,NG,1713219804
177,udachny,66.4167,112.4,-8.64,96,99,2.48,RU,1713219804
178,margate,51.3813,1.3862,8.5,64,79,4.47,GB,1713219804
179,queenstown,-31.8976,26.8753,11.86,90,2,0.94,ZA,1713219805
180,shangzhi,45.2167,127.9667,10.7,84,100,5.44,CN,1713219805
181,nizhniy odes,63.6445,54.856,-0.8,91,63,3.94,RU,1713219805
182,thompson,55.7435,-97.8558,8.09,53,40,2.57,CA,1713219805
183,mizan teferi,6.9833,35.5833,18.72,89,96,1.52,ET,1713219805
184,bredasdorp,-34.5322,20.0403,17.16,95,64,3.55,ZA,1713219805
185,new norfolk,-42.7826,147.0587,12.18,76,82,0.86,AU,1713219805
186,chui,-33.6971,-53.4616,22.23,96,100,7.58,UY,1713219805
187,batticaloa,7.7102,81.6924,27.06,83,100,1.82,LK,1713219805
188,midvagur,62.0511,-7.1939,3.46,65,75,9.26,FO,1713219805
189,sayat,38.7839,63.8803,9.93,59,92,2.88,TM,1713219806
190,lompoc,34.6391,-120.4579,23.72,68,0,8.23,US,1713219806
191,hasaki,35.7333,140.8333,16.27,75,100,6.5,JP,1713219806
192,dudinka,69.4058,86.1778,-27.45,100,94,1.8,RU,1713219806
193,horta,38.5333,-28.6333,15.57,93,100,4.47,PT,1713219806
194,isangel,-19.55,169.2667,29.06,70,75,2.57,VU,1713219806
195,fort st. john,56.2499,-120.8529,-0.06,100,100,4.12,CA,1713219806
196,coracora,-15.0333,-73.7833,15.11,44,1,2.83,PE,1713219806
197,kindu,-2.95,25.95,21.26,94,47,1.03,CD,1713219688
198,castillos,-34.1667,-53.8333,21.59,98,100,5.95,UY,1713219806
199,atafu village,-8.5421,-172.5159,28.43,78,100,3.91,TK,1713219807
200,egilsstadir,65.2653,-14.3948,-1.05,74,75,6.17,IS,1713219807
201,broken hill,-31.95,141.4333,15.98,39,1,3.05,AU,1713219807
202,luderitz,-26.6481,15.1594,14.6,73,0,2.49,NA,1713219807
203,asaita,11.5636,41.4394,32.96,51,69,1.08,ET,1713219807
204,trapani,37.8333,12.6667,14.05,94,0,3.6,IT,1713219807
205,ulladulla,-35.35,150.4667,17.31,81,56,0.4,AU,1713219807
206,kailahun,8.2833,-10.5667,27.46,58,86,1.48,SL,1713219807
207,antsiranana,-12.2787,49.2917,26.15,81,100,6.29,MG,1713219807
208,beloyarskiy,63.7119,66.6722,-2.78,93,100,2.68,RU,1713219808
209,papatowai,-46.5619,169.4708,10.92,97,100,3.79,NZ,1713219808
210,tambo,-14.8,-73.9167,8.46,44,3,3.36,PE,1713219808
211,mount pearl,47.5166,-52.7813,8.19,72,40,5.14,CA,1713219808
212,lethbridge,49.7,-112.8186,20.06,21,75,6.17,CA,1713219689
213,la ronge,55.1001,-105.2842,13.14,24,100,6.69,CA,1713219808
214,portland,45.5234,-122.6762,15.09,62,75,3.6,US,1713219760
215,homer,59.6425,-151.5483,6.13,53,0,2.57,US,1713219808
216,pierre,44.3683,-100.351,25.51,25,0,18.78,US,1713219794
217,santa ana,33.7456,-117.8678,23.69,52,40,4.12,US,1713219559
218,brookings,44.3114,-96.7984,25.14,26,0,11.83,US,1713219809
219,cockburn town,21.4612,-71.1419,24.98,78,40,5.66,TC,1713219809
220,armacao de buzios,-22.7469,-41.8817,25.09,86,58,8.35,BR,1713219698
221,ola,59.5833,151.2833,-6.59,83,96,2.13,RU,1713219809
222,longyearbyen,78.2186,15.6401,-14.09,66,75,4.12,SJ,1713219809
223,pandan,14.0453,124.1694,25.34,81,47,3.09,PH,1713219809
224,boguchany,58.3814,97.4531,-2.86,83,98,5.81,RU,1713219809
225,pangody,65.85,74.4859,-6.58,95,99,6.53,RU,1713219809
226,merizo village,13.2658,144.6691,28.54,83,62,5.44,GU,1713219809
227,fisterra,42.9049,-9.2629,12.64,77,25,9.07,ES,1713219810
228,port alfred,-33.5906,26.891,18.99,97,63,7.25,ZA,1713219810
229,carolina beach,34.0352,-77.8936,27.26,64,0,5.68,US,1713219810
230,crane,31.3974,-102.3501,31.95,11,99,11.05,US,1713219686
231,maputo,-25.9653,32.5892,19.82,88,20,1.03,MZ,1713219810
232,lure,47.75,6.5,7.81,93,75,3.6,FR,1713219810
233,tsiombe,-25.3,45.4833,21.67,77,32,6.13,MG,1713219810
234,prado,-17.3411,-39.2208,25.6,83,70,5.6,BR,1713219811
235,palasa,18.7667,84.4167,26.62,67,0,3.31,IN,1713219811
236,trenggalek,-8.05,111.7167,24.25,98,87,0.39,ID,1713219811
237,nambucca heads,-30.65,153.0,23.0,75,100,1.82,AU,1713219811
238,shuangyang,43.5242,125.6736,7.13,78,3,3.46,CN,1713219811
239,minas de marcona,-15.2119,-75.1103,16.62,90,87,7.94,PE,1713219811
240,la punta,-33.1837,-66.3127,10.78,96,100,4.01,AR,1713219811
241,pathein,16.7833,94.7333,26.04,83,0,2.94,MM,1713219811
242,narvik,68.4384,17.4272,-0.11,90,93,2.03,NO,1713219811
243,rio brilhante,-21.8019,-54.5464,23.96,94,100,2.3,BR,1713219812
244,verkhnevilyuysk,63.4453,120.3167,-4.32,92,99,2.9,RU,1713219812
245,nova vicosa,-17.8919,-39.3719,26.18,76,76,5.81,BR,1713219812
246,bardoli,21.1167,73.1167,31.32,33,18,2.69,IN,1713219812
247,chachapoyas,-6.2317,-77.869,17.83,86,76,1.3,PE,1713219812
248,bodaybo,57.8506,114.1933,-0.44,97,100,1.11,RU,1713219812
249,caleta de carquin,-11.0925,-77.6267,22.22,82,25,5.95,PE,1713219812
250,cholpon-ata,42.6494,77.0823,11.03,60,100,0.85,KG,1713219812
251,yunyang,33.4474,112.7142,16.3,46,56,4.06,CN,1713219812
252,flin flon,54.7682,-101.865,11.91,30,100,3.09,CA,1713219813
253,bambari,5.768,20.6757,27.3,57,84,1.72,CF,1713219813
254,augusta,48.3667,10.8833,11.61,75,40,7.72,DE,1713219665
255,urangan,-25.3,152.9,21.78,87,5,2.24,AU,1713219813
256,kapit,2.0167,112.9333,22.84,100,47,0.31,MY,1713219813
